年度,所管局№,所管局,施策分野№,施策分野,事業名,補助金名,補助金の概要,補助対象者№,補助対象者,予算額（千円）,所管部署,問い合わせ先,各局HPリンク
2026,02,子供政策連携室,01,子供家庭,"中高生の地域における居場所づくり
～トウキョウ・ユースベース・プロジェクト～","中高生の地域における居場所づくり
～トウキョウ・ユースベース・プロジェクト～補助金","補助金の目的：中高生の地域における居場所づくりの推進
補助対象者：区市町村
補助対象経費 ：中高生の意見を取り入れた居場所づくりや、中高生自身が運営等に参画する居場所の整備・運営に要する経費
負担割合：都10/10（運営費の3年目は1/2）
①多機能センター型
　　補助基準額：運営費70,000千円、整備費120,000千円
②中高生居場所創出型（週５日以上開所）
　　補助基準額：運営費40,000千円
③中高生居場所創出型（週１回以上開所）
　　補助基準額：運営費20,000千円",1,区市町村,"590,000 ",子供政策連携室企画調整部企画調整課,03-5388-3812,
2026,02,子供政策連携室,01,子供家庭,子供を事故から守る環境づくり促進事業,子供を事故から守る環境づくり促進事業補助金（製品開発・改良区分）,"補助金の目的：子供の事故が起きにくい環境づくりに向け、企業や大学・研究機関等が連携して取り組む研究や製品開発等を支援
補助対象者：都内に本社又は支社を置く中堅企業、中小企業、?スタートアップ及び大学・公設研究機関等によるグループ?
負担割合：1/2 （上限6,000万円／２年）
採択件数：３件",5,民間団体,"60,000 ",子供政策連携室企画調整部企画調整課,03-5388-3812,
2026,02,子供政策連携室,01,子供家庭,子供を事故から守る環境づくり促進事業,子供を事故から守る環境づくり促進事業補助金（研究区分）,"補助金の目的：子供の事故が起きにくい環境づくりに向け、企業や大学・研究機関等が連携して取り組む研究や製品開発等を支援
補助対象者：都内の大学・公設研究機関及び企業等によるグループ
負担割合：1/2、2/3　（上限：5,000万円／３年）
採択件数：２件",7,その他団体,"20,000 ",子供政策連携室企画調整部企画調整課,03-5388-3812,
2026,03,総務局,17,その他,人権啓発相談,人権啓発活動区市町村再委託事業補助,"補助金の目的：啓発活動は，人権尊重思想の普及高揚を図り，地域住民に人権問題に対する正しい認識を広めることにより，基本的人権の擁護に資することを目的とする。
補助対象者　：区市町村長
補助対象経費：講演会の開催、資料の作成・配布、放送広告の実施、新聞等広告の掲載、研修会の開催、地域人権啓発活動活性化事業の実施、その他上記に準ずる啓発活動で法務省人権擁護局長が相当と認めるもの。
負担割合　　：全額国",1,区市町村,"30,090 ",総務局人権部人権施策推進課,03-5388-2588,
2026,03,総務局,17,その他,（公財）東京都人権啓発センター運営費補助,（公財）東京都人権啓発センター運営費補助,"補助金の目的：公益財団法人東京都人権啓発センターの運営
補助対象者　：公益財団法人東京都人権啓発センター
補助対象経費：(1) 人件費、(2) 事務費、(3) 事業費（以下のものに限る。）
① 参加者から参加費用を徴しない講演会、研修会、映画会、コンサート等に係るもの
② 財団の事業実施時に都民等に対して配布又は頒布する啓発用物品の作成費用。ただし、頒布する場合の対価は原価を上回らないこととし、それにより得た収入額は補助対象経費から差し引くこととする。
③ 利用者から対価を得ずに実施するポスターの作成・掲出、マスメディアやインターネットを通じた広報・情報提供活動に係るもの
④ 人権に関する情報収集、調査研究等
⑤ 利用者から対価を得ないで実施する相談事業
⑥ その他財団の目的達成に必要な事業で、利用者から対価を得ないもの
負担割合　　：都100%",3,政策連携団体,"152,525 ",総務局人権部人権施策推進課,03-5388-2588,https://www.tokyo-jinken.or.jp/contents/outline/zaimusiryou.html
2026,03,総務局,17,その他,多摩地域の振興策の推進,多摩地域における多様な主体との連携活動促進支援事業費補助金,"補助金の目的：多摩地域において、複数の市町村と多様な主体との連携による広域的な地域課題の解決や、新たな価値の創造など、先進的な取組を支援し、多摩地域の多様な魅力を向上
補助対象者：多摩地域の市町村
補助対象経費：事業の実施に要する経費
負担割合 ：都2/3（補助限度額20,000千円 ※補助期間の初年度は10,000千円）",1,区市町村,"61,140 ",総務局行政部振興企画課,03-5388-2443,
2026,03,総務局,17,その他,（公財）小笠原協会補助,小笠原協会補助,"補助金の目的：旧島民の帰島を促進し、島民の定着等を推進
補助対象者　：公益財団法人　小笠原協会
補助対象経費：帰島を希望する旧島民の帰島の促進及び小笠原諸島の振興開発に資する事業
負担割合　　：都1/2",7,その他団体,"6,000 ",総務局行政部振興企画課,03-5388-2445,
2026,03,総務局,10,観光,島しょの「魅力再発見」と「ブランド化」に向けた取組,島しょ地域宿泊施設誘致活動支援補助金,"補助金の目的：上質な宿泊施設を誘致・整備し、新たな島の魅力を創出
補助対象者　：島しょ地域の町村
補助対象経費：宿泊施設の誘致・整備に係る取組等
負担割合　　：都2/3以内（補助限度額100,000千円）、町村1/3",1,区市町村,"200,000 ","総務局行政部振興企画課
産業労働局観光部振興課",03-5320-4768,
2026,03,総務局,17,その他,島しょの「魅力再発見」と「ブランド化」に向けた取組,島しょ地域の廃ホテル跡地活用に係る町村支援補助金,"補助金の目的：跡地の活用を前提に、廃ホテルの撤去等に取り組む島しょ町村を財政的に支援
補助対象者　：島しょ地域の町村
補助対象経費：廃ホテルの撤去等に係る経費
負担割合　　：都3/4、町村1/4",1,区市町村,"15,758 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,島しょの「魅力再発見」と「ブランド化」に向けた取組,地域資源の保全と利活用に係る取組推進補助金,"補助金の目的：島しょ地域の貴重な地域資源の保全と利活用の両立に向けた取組に対して支援
補助対象者　：島しょ町村が構成員として参画している団体（設立から３年未満）
補助対象経費：島しょ地域の貴重な地域資源の保全と利活用の両立に向けた取組に係る経費
負担割合　　：都3/4（補助限度額20,000千円）",5,民間団体,"40,000 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,島しょの「魅力再発見」と「ブランド化」に向けた取組,島しょ産品ブランド化支援補助金,"補助金の目的：島しょ地域における産品のブランド化を進めるための取組に対して支援
補助対象者　：島しょ地域の産品事業者・団体
補助対象経費：島しょ産品のブランド化に要する経費
負担割合　　：都3/4",5,民間団体,"25,000 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,島しょの「魅力再発見」と「ブランド化」に向けた取組,地域資源の魅力発信支援補助金,"補助金の目的：地域資源の魅力を国内外に発信する自律的な取組を行う島しょ町村を支援
補助対象者　：島しょ地域の町村
補助対象経費：地域資源の魅力を国内外に発信する取組等に係る経費
負担割合　　：都3/4、町村1/4",1,区市町村,"20,000 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,デジタル×共創による島しょ地域の社会課題解決モデル創出事業,デジタル技術を活用した島しょ地域の課題解決補助金,"補助金の目的：デジタル技術を活用して島内の課題解決に取り組む島しょ町村を支援
補助対象者　：島しょ地域の町村
補助対象経費：事業の実施に要する経費
負担割合　　：都 1年目10/10（補助上限額：50,000千円）、2年目3/4（同37,500千円）、3年目2/3（同33,333千円）",1,区市町村,"50,000 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,島しょ山村地域における移住体験住宅整備補助,島しょ山村地域における移住体験住宅整備事業補助金,"補助金の目的：島しょ山村地域における移住・定住の促進
補助対象者　：都内条件不利地域の町村
補助対象経費：移住体験住宅整備等に要する経費
負担割合　　：都10/10（補助上限額：1.2億円）",1,区市町村,"110,000 ",総務局行政部振興企画課,03-5388-2406,
2026,03,総務局,17,その他,移住・定住促進市町村支援事業,移住・定住促進市町村支援事業補助金,"補助金の目的：市町村の主体的・計画的な移住定住促進の取組の後押し
補助対象者：条件不利地域、その他対象地域
補助対象経費：対象事業実施に必要な経費
負担割合：条件不利地域：都3/4(空き家バンク活用の場合10/10)　　その他対象地域：都1/2",1,区市町村,"126,265 ",総務局行政部振興企画課,03-5388-2443,
2026,03,総務局,17,その他,東京宝島 サステナブル・アイランド創造事業,東京宝島 サステナブル・アイランド創造事業費補助金,"補助金の目的：島しょ地域の持続的発展や特色ある宝物の発掘・魅力の創造につながる、町村の意欲的な公民共創の取組を支援
補助対象者　：島しょ地域の町村
補助対象経費：事業費
負担割合　　：都10/10（補助限度額500,000千円、基盤整備を伴わない場合100,000千円）",1,区市町村,"1,146,821 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,東京宝島 サステナブル・アイランド創造事業,東京宝島 サステナブル・アイランド推進支援事業費補助金,"補助金の目的：施設の整備後の本格的な利活用や多面的展開など、ソフト事業の磨き上げを支援
補助対象者　：島しょ地域の町村
補助対象経費：事業費
負担割合　　：都 1年目3/4（補助限度額50,000千円）、2年目2/3（同30,000千円）、3年目1/2（同20,000千円）",1,区市町村,"260,000 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,東京宝島 サステナブル・アイランド創造事業,東京宝島 サステナブル・アイランド再生支援事業費補助金,"補助金の目的：東京宝島 サステナブル・アイランド創造事業及び推進支援事業に基づき、都の補助を受けて実施した事業が、災害又は火災によりその機能の一部又は全部が喪失した場合、その機能を再生し、又は被災を契機としてその内容を発展的に再構築する取組を支援
補助対象者　：島しょ地域の町村
補助対象経費：事業費
負担割合　　：都10/10（補助限度額200,000千円 ※調査検討費用50,000千円、施設整備費用150,000千円）",1,区市町村,"50,000 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,市町村総合交付金,市町村総合交付金,"補助金の目的：市町村の行政水準の向上と住民福祉の増進を図るための財源補完制度
補助対象者　：市町村
補助対象経費：市町村が実施する各種施策に要する一般財源
負担割合　　：10/10",1,区市町村,"71,800,000 ",総務局行政部市町村課,03-5388-2437,https://www.soumu.metro.tokyo.lg.jp/05gyousei/04sougoukoufukin.html
2026,03,総務局,17,その他,水道料金に係る基本料金無償臨時特別交付金,水道料金に係る基本料金無償臨時特別交付金,"補助金の目的：都の水道料金に係る基本料金無償臨時特別措置を踏まえ、都水道局の区域外で水道事業（上水道・簡易水道等）を行う市町村等が同様の措置を行う場合に、市町村等に対して基本料金の収入相当額等を交付
補助対象者　：市町村等
補助対象経費：小口径(13㎜・20㎜・25㎜)の給水管に係る基本料金等
負担割合　　：10/10",1,区市町村,"900,000 ",総務局行政部市町村課,03-5388-2437,
2026,03,総務局,17,その他,特別区都市計画交付金,特別区都市計画交付金,"補助金の目的：特別区における都市計画事業の円滑な促進を図る
補助対象者　：区
補助対象経費：要綱に定める都市計画事業の事業費
負担割合　　：都の10/10",1,区市町村,"30,000,000 ",総務局行政部区政課,03-5388-2426,
2026,03,総務局,17,その他,市町村振興宝くじ交付金,市町村振興宝くじ交付金,"補助金の目的：区市町村における災害対策事業及び緊急な公共施設整備事業等を推進するために、区市町村共通の財源を確保すること
補助対象者　：東京都区市町村振興協会
補助対象経費：東京都区市町村振興協会が行う事業のうち、交付対象事業に係る経費
負担割合　　：10/10",7,その他団体,"7,336,971 ",総務局行政部振興企画課,03-5388-2413,http://www.tokyo-kushichoson-shinko.or.jp/
2026,03,総務局,17,その他,（公財）東京都島しょ振興公社貸付等,ヘリコミューター支援経費補助金,"補助金の目的：伊豆諸島地域の活性化及び島民生活の基盤の確保を図るため、伊豆諸島地域を結ぶ２地点間（大島・利島・三宅島・御蔵島・八丈島・青ヶ島）ヘリ輸送の支援事業を行う（公財）東京都島しょ振興公社に対し、予算の範囲内において、補助金を交付するもの。
補助対象者　：（公財）東京都島しょ振興公社
補助対象経費：伊豆諸島地域を結ぶ２地点間ヘリ輸送事業の経常収支額から（公財）東京都島しょ振興公社の支援額を差し引いた額
負担割合　　：10/10",3,政策連携団体,"1,420,092 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,ヘリコミューター運賃補助,ヘリコミューター運賃補助（国基準）,"補助金の目的：特定有人国境離島地域における継続的な居住が可能となる環境の整備を図るため。
補助対象者　：対象航空路の航空路事業を営む者であって、航空路運賃低廉化事業により運賃の低廉化を実施するもの。
【対象航空路】
１ 当該特定有人国境離島地域と当該特定有人国境離島地域の属する都道県との間の交通の用に供される路線
２ 当該特定有人国境離島地域と都道県庁所在地その他の経済上又は文化上特に重要な都市との間の交通の用に供される路線であって、旅客の利用状況等からみて旅客の運送の確保を図ることが当該特定有人国境離島地域の住民の生活の安定に資するものとして、大臣が特に必要と認めた路線
補助対象経費：基準航空路運賃と割引住民航空路運賃との差額に住民等の利用人員を乗じて得た額
負担割合　　：国11/20 都9/20",5,民間団体,"9,195 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,ヘリコミューター運賃補助,ヘリコミューター運賃補助（都加算）,"補助金の目的：東京都伊豆諸島地域を結ぶ２地点間（大島・利島・三宅島・御蔵島・八丈島・青ヶ島）ヘリ輸送に係る島民割引運賃の設定に要する経費に対して、予算の範囲内において補助するもの。
補助対象者　：東京都伊豆諸島地域を結ぶ２地点間（大島・利島・三宅島・御蔵島・八丈島・青ヶ島）ヘリ輸送に係る島民割引運賃の設定を行う事業者
補助対象経費：普通旅客運賃と島民割引運賃の差額に住民等の利用人員及び１１０分の１００を乗じて得た額
負担割合      ：10/10",5,民間団体,"24,644 ",総務局行政部振興企画課,03-5388-2444,
2026,03,総務局,17,その他,生活物資輸送費補助,小笠原諸島生活物資輸送費補助（プロパンガス）,"補助金の目的：小笠原諸島における物価安定を図るため
補助対象者　：東京都小笠原支庁管内で生活物資を販売する者
補助対象経費：小笠原諸島へのプロパンガスの船舶による東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費
負担割合　　：都10/10",5,民間団体,"25,495 ",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2026,03,総務局,17,その他,生活物資輸送費補助,小笠原諸島生活物資輸送費補助（米穀類を除く食料品等）,"補助金の目的：小笠原諸島における物価安定を図るため
補助対象者　：東京都小笠原支庁管内で生活物資を販売する者
補助対象経費：小笠原諸島への米穀類を除く食料品等の船舶による東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費　
負担割合　　：都3/5、事業者2/5",5,民間団体,"46,319 ",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2026,03,総務局,17,その他,生活物資輸送費補助,小笠原諸島生活物資輸送費補助（米穀類、衣料品等）,"補助金の目的：小笠原諸島における物価安定を図るため
補助対象者　：東京都小笠原支庁管内で生活物資を販売する者
補助対象経費：小笠原諸島への米穀類、衣料品等の船舶による東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費
負担割合　　：都3/10、事業者7/10",5,民間団体,609 ,総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2026,03,総務局,17,その他,生産物貨物運賃補助,小笠原諸島生産物貨物運賃補助（東京～父島間）,"補助金の目的：島民の生活安定及び定住促進に寄与するため
補助対象者　：定期航路事業者及び不定期航路事業者
補助対象経費：小笠原諸島における農漁業生産物及び関連物資の運搬に要する輸送費
負担割合　　：都1/2、事業者1/2",5,民間団体,"16,051 ",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2026,03,総務局,17,その他,生産物貨物運賃補助,小笠原諸島生産物貨物運賃補助（父島～母島間）,"補助金の目的：島民の生活安定及び定住促進に寄与するため
補助対象者　：定期航路事業者及び不定期航路事業者
補助対象経費：小笠原諸島における農漁業生産物及び関連物資の運搬に要する輸送費
負担割合　　：都10/10",5,民間団体,"3,373 ",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2026,03,総務局,17,その他,旧島民帰島引越輸送費補助,小笠原諸島帰島民荷物輸送費補助,"補助金の目的：小笠原諸島における旧島民等の帰島援護を図るため
補助対象者　：旧島民(昭和１９年３月３１日に小笠原諸島に住所を有していた者で、昭和４３年６月２５日に小笠原諸島以外の本邦に住所を有していた者)、その父母、子及び孫並びにこれらの配偶者
補助対象経費：航路事業者が補助対象者から受付を行った引越荷物の東京、小笠原諸島間及び小笠原諸島相互間の運搬に要する輸送費
負担割合　　：１４トン（重量トン又は 容積トンのいずれか大きい方とする。）までにつき、その輸送費の金額を１世帯１回",6,一般都民,333 ,総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2026,03,総務局,17,その他,定期航路補助,小笠原諸島離島航路補助,"補助金の目的：小笠原諸島における離島航路の維持及び改善を図るため
補助対象者　：離島航路事業者
補助対象経費：航路損益見込計算書における差引当期純利益（ 純
損失） の額に別に局長が定める率を乗じて得た額
負担割合　　：都10/10",5,民間団体,"121,580 ",総務局行政部振興企画課,03-5388-2445,https://www.soumu.metro.tokyo.lg.jp/05gyousei/06sinkouogasawarajigyou1.html
2026,03,総務局,17,その他,小笠原航路改善費補助,小笠原諸島離島航路改善補助,"補助金の目的：小笠原諸島における離島航路の維持及び改善を図るため
補助対象者　：離島航路事業者
補助対象経費：小笠原諸島における定期航路就航船舶の使用料
負担割合　　：都1/2、事業者1/2",5,民間団体,"37,931 ",総務局行政部振興企画課,03-5388-2445,
2026,03,総務局,17,その他,応急対策,災害見舞金,"補助金の目的：見舞金の贈呈
補助対象者　：災害対策基本法第２条第１号に規定する災害が発生した被災国等及び災害救助法の適用を受けた道府県
補助対象経費：額は要領別表に定める基準数値による
負担割合　　：定額",7,その他団体,"4,500 ",総務局総合防災部防災管理課,03-5388-2453,
2026,03,総務局,17,その他,石油貯蔵施設立地対策等交付金,石油貯蔵施設等立地対策等交付金,"補助金の目的：石油貯蔵施設の立地に伴う財政負担の軽減による施設立地の促進
補助対象者　：江戸川区、大田区
補助対象経費：消防施設、防災通信施設、防災緑地等
負担割合　　：国10/10",1,区市町村,"5,623 ",総務局総合防災部防災計画課,03-5388-2457,
2026,03,総務局,17,その他,市町村消防指導,東京都消防協会補助,"補助金の目的：消防団の充実強化、地域防災力の向上推進
補助対象者　：一般社団法人東京都消防協会
補助対象経費：消防団の消防知識技術、福利厚生の向上等に係る消防・防災事業
負担割合　　：都10/10",7,その他団体,"7,300 ",総務局総合防災部防災管理課,03-5388-2457,
2026,03,総務局,17,その他,消防施設整備費補助,市町村消防施設整備費補助,"補助金の目的：市町村の消防防災設備の整備促進
補助対象者　：都に消防事務を委託している市町村以外の市町村
補助対象経費：備蓄倉庫、防火水槽のほか、消防ポンプ自動車等の購入又は設置に要する経費
負担割合　　：都1/3、市町村2/3",1,区市町村,"16,500 ",総務局総合防災部防災管理課,03-5388-2457,
2026,03,総務局,17,その他,帰宅困難者対策,東京都民間一時滞在施設備蓄品購入費用補助,"補助金の目的：帰宅困難者の受入れ環境の整備
補助対象者　：都内区市町村と帰宅困難者の受入協定を締結する民間一時滞在施設
補助対象経費：帰宅困難者用の備蓄品や電源機器等の購入に要する経費
負担割合　　：都5/6、事業者1/6",5,民間団体,"135,970 ",総務局総合防災部防災管理課,03-5388-2529,https://www.bousai.metro.tokyo.lg.jp/kitaku_portal/1000048/1006430/1007875/index.html
2026,03,総務局,17,その他,帰宅困難者対策,東京都一時滞在施設災害時拠点強靱化緊急促進事業に関する補助金,"補助金の目的：帰宅困難者の受入れ環境の整備
補助対象者　：都内区市町村と帰宅困難者の受入協定を締結する民間一時滞在施設
補助対象経費：帰宅困難者を受け入れるために付加的に必要となる、退避施設・防災備蓄倉庫等の整備に要する経費
負担割合　　：都1/3、国2/3",5,民間団体,"491,845 ",総務局総合防災部防災管理課,03-5388-2529,https://www.bousai.metro.tokyo.lg.jp/kitaku_portal/1000048/1006430/1007877/index.html
2026,03,総務局,17,その他,地域防災力の向上支援,出火防止対策に係る区市町村支援,"補助金の目的：感震ブレーカーの設置を進める区市町村に対して補助
補助対象者　：区市町村
補助対象経費：感震ブレーカー
負担割合：都1/2、区市町村1/2（補助基準額：取付を伴う一括遮断型8万円、取付不要な一括遮断型・特定機器遮断型7千円）",1,区市町村,"1,708,000 ",総務局総合防災部防災戦略課・調整担当,03-5320-7449,
2026,03,総務局,17,その他,地域防災力の向上支援,住宅事業者への感震ブレーカー購入費補助,"補助金の目的：感震ブレーカーを設置する住宅を新築、リフォーム工事する住宅事業者への補助
補助対象者　新築住宅又はリフォーム工事を実施する住宅事業者
補助対象経費：感震ブレーカー（分電盤型）
負担割合：　　都1/2、事業者1/2（補助上限額：3万円）",5,民間団体,"210,000 ",総務局総合防災部防災戦略課・調整担当,03-5320-7449,
2026,03,総務局,17,その他,燃料確保対策,指定給油所への非常用発電設備に係る点検等費用に対する補助,"補助金の目的：発災時においても給油所の機能維持を図るため、都指定給油所を対象に非常用発電設備の点検等に対して補助
補助対象者　：非常用発電設備を設置している都指定給油所
補助対象経費：専門業者による点検等に要した費用
負担割合：　　都10/10（補助上限額：30万円）",5,民間団体,"14,400 ",総務局総合防災部防災計画課・計画調整担当,03-5320-7892,
2026,03,総務局,17,その他,燃料確保対策,大規模災害時燃料供給用発電機整備費補助金,"補助金の目的：災害発生時において人命に関わる救出・救助活動等に必要な燃料を確実に供給するため
補助対象者　：都と協定を締結し、協定に基づく契約により燃料を備蓄している者
補助対象経費：発電機の整備に必要な購入費、設計費及び工事費
負担割合：（１）中小企業者については、指定給油所１か所当たり発電機１式を整備するために必要となる補助対象経費の10/10
（２）大企業については、指定給油所１か所当たり発電機１式を整備するために必要となる補助対象経費の２/３
ただし、指定給油所において備蓄するガソリン又は軽油の数量が、当該指定給油所の地下タンク容量の５％を超える場合は、当該指定給油所においては補助対象経費の10/10",5,民間団体,"12,500 ",総務局総合防災部防災計画課・計画調整担当,03-5320-7892,
